LAI,CAC,Sensible heat flux (kJ/hr),Latent heat flux (kg/hr)
0.004821,0.001868,-0.083808,0.000108
0.004836,0.001873,-0.084062,0.000108
0.004850,0.001879,-0.084315,0.000108
0.004865,0.001885,-0.084571,0.000109
0.004880,0.001891,-0.084826,0.000109
0.004895,0.001896,-0.085084,0.000109
0.004909,0.001902,-0.085341,0.000110
0.004924,0.001908,-0.085598,0.000110
0.004939,0.001913,-0.085857,0.000110
0.004954,0.001919,-0.086116,0.000111
0.004969,0.001925,-0.086377,0.000111
0.004984,0.001931,-0.086638,0.000111
0.004999,0.001937,-0.086898,0.000112
0.005014,0.001942,-0.087161,0.000112
0.005029,0.001948,-0.087423,0.000112
0.005045,0.001954,-0.087688,0.000113
0.005060,0.001960,-0.087952,0.000113
0.005075,0.001966,-0.088216,0.000113
0.005090,0.001972,-0.088482,0.000114
0.005105,0.001978,-0.088748,0.000114
0.005121,0.001984,-0.089016,0.000114
0.005136,0.001990,-0.089283,0.000115
0.005152,0.001996,-0.089553,0.000115
0.005167,0.002002,-0.089822,0.000116
0.005183,0.002008,-0.090092,0.000116
0.005198,0.002014,-0.090363,0.000116
0.005214,0.002020,-0.090634,0.000117
0.005230,0.002026,-0.090907,0.000117
0.005245,0.002032,-0.091180,0.000117
0.005261,0.002038,-0.091453,0.000118
0.005277,0.002044,-0.091727,0.000118
0.005293,0.002050,-0.092004,0.000118
0.005309,0.002057,-0.092278,0.000119
0.005325,0.002063,-0.092557,0.000119
0.005340,0.002069,-0.092833,0.000119
0.005357,0.002075,-0.093111,0.000120
0.005373,0.002081,-0.093391,0.000120
0.005389,0.002088,-0.093671,0.000120
0.005405,0.002094,-0.093951,0.000121
0.005421,0.002100,-0.094232,0.000121
0.005437,0.002106,-0.094514,0.000122
0.005454,0.002113,-0.094797,0.000122
0.005470,0.002119,-0.095080,0.000122
0.005486,0.002125,-0.095364,0.000123
0.005502,0.002132,-0.095649,0.000123
0.005519,0.002138,-0.095936,0.000123
0.005535,0.002144,-0.096223,0.000124
0.005552,0.002151,-0.096509,0.000124
0.005569,0.002157,-0.096798,0.000124
0.005585,0.002164,-0.097086,0.000125
0.005602,0.002170,-0.097375,0.000125
0.005619,0.002177,-0.097665,0.000126
0.005635,0.002183,-0.097957,0.000126
0.005652,0.002190,-0.098249,0.000126
0.005669,0.002196,-0.098541,0.000127
0.005686,0.002203,-0.098835,0.000127
0.005703,0.002209,-0.099129,0.000127
0.005720,0.002216,-0.099424,0.000128
0.005737,0.002222,-0.099720,0.000128
0.005754,0.002229,-0.100017,0.000129
0.005771,0.002236,-0.100314,0.000129
0.005788,0.002242,-0.100613,0.000129
0.005805,0.002249,-0.100912,0.000130
0.005823,0.002256,-0.101211,0.000130
0.005840,0.002262,-0.101512,0.000131
0.005857,0.002269,-0.101815,0.000131
0.005875,0.002276,-0.102117,0.000131
0.005892,0.002283,-0.102420,0.000132
0.005909,0.002289,-0.102724,0.000132
0.005927,0.002296,-0.103028,0.000133
